ERROR - 02/06/2025 09:33:42 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:33:42 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:33:42 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:33:42 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:34:18 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:34:18 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:34:18 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:34:18 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:34:18 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:34:18 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
