ERROR - 15/07/2025 04:50:49 : [5] Something unexpected happened while reading : Connection timed out - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:171)
ERROR - 15/07/2025 11:38:03 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:38:04 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:38:04 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:42:41 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:42:41 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:43:21 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:43:44 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:43:45 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:48:18 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:49:36 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:49:51 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:49:56 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:50:02 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:50:12 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:50:12 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:50:12 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:51:11 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:52:14 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:52:14 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:52:14 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:52:21 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:52:24 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:52:38 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:52:42 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:53:56 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:53:56 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:53:56 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:54:03 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:54:07 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:54:19 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:55:06 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
